Rule_ID,Device_Name,Rule_Name,Source_Zone,Source_IP,Destination_Zone,Destination_IP,Destination_ANY,Port,Protocol,Service,Action,Business_Justification,Business_Justification_Status,Application_Owner,Review_Date,Review_Status,Last_Hit_Date,Hit_Count_90d,Remarks
FW-RULE-0010,PRD-FW-01,Allow_Web_Traffic_Internet,Untrust,0.0.0.0/0,DMZ,10.10.10.0/24,FALSE,443,TCP,HTTPS,PERMIT,Internet users accessing public web portal,Approved,Ravi Sharma (Digital Banking),15-Jun-2026,Active,12-Jun-2026,4523,Production web traffic - compliant
FW-RULE-0063,PRD-FW-02,Allow_All_Outbound_Internal,Internal,10.20.0.0/16,Untrust,0.0.0.0/0,TRUE,1-65535,TCP/UDP,ALL,PERMIT,,MISSING,Sanjay Patel (IT Infra),15-Jun-2026,FLAGGED - NO JUSTIFICATION,10-Jun-2026,89234,"OBSERVATION: Destination ANY - business justification required per DI-04-01 Sec 4.4"
FW-RULE-0234,PRD-FW-03,Legacy_FTP_Supplier,DMZ_Finance,172.16.5.0/24,External_Partner,0.0.0.0/0,TRUE,20-21,TCP,FTP,PERMIT,,MISSING,Meena Krishnan (Finance),15-Jun-2026,FLAGGED - NO JUSTIFICATION,01-Jan-2026,0,"OBSERVATION: FTP port 20/21 insecure; Destination ANY; no traffic in 6 months - recommend removal"
FW-RULE-0089,PRD-FW-01,Allow_SSH_Management,Management,192.168.10.0/24,DMZ,10.10.10.0/24,FALSE,22,TCP,SSH,PERMIT,SSH access for system administrators to DMZ servers,Approved,Amit Desai (Infra),15-Jun-2026,Active,14-Jun-2026,156,Management access restricted to Mgmt subnet - compliant
FW-RULE-0102,PRD-FW-04,Allow_HTTP_External,Untrust,0.0.0.0/0,DMZ_WEB,10.10.20.0/24,FALSE,80,TCP,HTTP,PERMIT,,MISSING,Sandeep Rao (Web Team),15-Jun-2026,FLAGGED - NO JUSTIFICATION,12-Jun-2026,12034,"OBSERVATION: HTTP port 80 permitted without waiver; should redirect to HTTPS or be removed"
FW-RULE-0150,DR-FW-01,Allow_Telnet_Legacy,Internal,10.30.0.0/24,Core_Banking,172.20.0.0/24,FALSE,23,TCP,Telnet,PERMIT,,MISSING,Priya Singh (Core Banking),15-Jun-2026,CRITICAL - PROHIBITED,08-Mar-2026,45,"OBSERVATION: Telnet (port 23) is strictly prohibited per DI-04-01; immediate remediation required"
FW-RULE-0190,PRD-FW-02,Allow_SQL_Monitoring,Monitoring,10.40.0.0/24,DB_Zone,10.10.30.0/24,FALSE,1433,TCP,MSSQL,PERMIT,Database monitoring tool connectivity to SQL servers,Approved,Vikram Joshi (DBA),15-Jun-2026,Active,15-Jun-2026,987,Approved monitoring rule - compliant
FW-RULE-0270,PRD-FW-05,Allow_SMTP_Relay,DMZ_Mail,10.10.50.0/24,Internet_MTA,203.0.113.0/24,FALSE,25,TCP,SMTP,PERMIT,Email relay to authorised external MTA for outgoing mail,Approved,Neha Gupta (Messaging),15-Jun-2026,Active,15-Jun-2026,2341,SMTP restricted to authorised mail relay - compliant
FW-RULE-0310,PRD-FW-01,Allow_SMBv1_FileShare,Internal,10.20.0.0/16,Legacy_App,172.30.0.0/24,FALSE,445,TCP,SMBv1,PERMIT,,MISSING,Rohit Verma (Legacy Apps),15-Jun-2026,FLAGGED - NO JUSTIFICATION,05-Apr-2026,12,"OBSERVATION: SMBv1 is a known vulnerable protocol; recommend upgrade to SMBv3 or disable"
FW-RULE-0405,PRD-FW-06,Allow_DB_Sync_DR,PRD_DC,10.10.60.0/24,DR_DC,10.10.61.0/24,FALSE,1521,TCP,OracleSQL,PERMIT,Database replication between Production DC and DR site,Approved,Ananya Reddy (Infra),15-Jun-2026,Active,15-Jun-2026,567,Approved DR replication - compliant
