Vendor ID,Vendor Name,Service Type,Risk Classification,Contract Start Date,Contract End Date,Contract Value (INR Lakhs),NDA Status,NDA Sign Date,SLA Status,SLA Sign Date,NDA Document Reference,SLA Document Reference,Last Audit Date,Audit Findings Status,Risk Score (1-10),Relationship Manager,Remarks
V-001,Infosys Limited,Core Banking Solution Support,Critical,01-Apr-2024,31-Mar-2027,4500,NDA Signed,28-Mar-2024,SLA Signed,01-Apr-2024,NDA-2024-001,SLA-2024-001,15-Nov-2025,Closed - Satisfactory,3,Ashok Mehta,Finacle production support. Annual audit conducted. All contractual docs in place.
V-002,Tata Consultancy Services,Data Center Operations,Critical,01-Jun-2024,31-May-2027,3200,NDA Signed,25-May-2024,SLA Signed,01-Jun-2024,NDA-2024-002,SLA-2024-002,20-Feb-2026,Closed - Satisfactory,4,Neha Sharma,DC management for Mumbai and Pune sites. Compliance status good.
V-003,Microsoft India,Cloud Services (Azure),Critical,01-Jan-2025,31-Dec-2027,5800,NDA Signed,15-Dec-2024,SLA Signed,01-Jan-2025,NDA-2025-003,SLA-2025-003,N/A (Cloud provider),N/A,5,Vikram Joshi,Single cloud provider concern noted. Exit plan under development per DI-09-03.
V-004,Wipro Limited,Network Management Services,High,01-Jul-2024,30-Jun-2027,1800,NDA Signed,20-Jun-2024,SLA Signed,01-Jul-2024,NDA-2024-004,SLA-2024-004,10-Jan-2026,Closed - Satisfactory,4,Rahul Verma,Network operations and management. SLA compliance at 98.5%.
V-005,HCL Technologies,IT Helpdesk & End User Support,High,01-Sep-2024,31-Aug-2027,1200,NDA Signed,25-Aug-2024,SLA Signed,01-Sep-2024,NDA-2024-005,SLA-2024-005,05-Mar-2026,Closed - Satisfactory,3,Priya Mehta,Service desk operations. Ticket closure SLA at 94%.
V-006,Oracle India,Database License & Support,Medium,01-Jan-2025,31-Dec-2026,2500,NDA Signed,20-Dec-2024,SLA Signed,01-Jan-2025,NDA-2025-006,SLA-2025-006,N/A (License),N/A,3,Sandeep Gupta,License and support renewal. Annual true-up scheduled.
V-007,Paladion Networks,MSSP - SOC Operations,Critical,01-Feb-2025,31-Jan-2028,2100,NDA Signed,25-Jan-2025,SLA Signed,01-Feb-2025,NDA-2025-007,SLA-2025-007,12-Apr-2026,Closed - Satisfactory,4,Sonia Agarwal,24x7 SOC operations. SIEM management included.
V-008,Vmware (Broadcom),Virtualization Platform,Medium,01-Mar-2025,28-Feb-2027,950,NDA Signed,20-Feb-2025,SLA Signed,01-Mar-2025,NDA-2025-008,SLA-2025-008,N/A (License),N/A,3,Neha Jain,License renewal. EOL/Broadcom acquisition impact under review.
V-009,Cisco Systems,Network Hardware & Support,Medium,01-Apr-2025,31-Mar-2027,1800,NDA Signed,25-Mar-2025,N/A,SLA not yet signed,NDA-2025-009,N/A,10-Mar-2026,Not Applicable,4,Ravi Sharma,SmartNet support active. SLA document under legal review for 2 months. Pending resolution.
V-010,Quick Heal Technologies,Antivirus & EDR Solution,High,01-May-2025,30-Apr-2027,450,NDA Signed,25-Apr-2025,SLA Signed,01-May-2025,NDA-2025-010,SLA-2025-010,20-May-2026,Closed - Satisfactory,3,Arjun Gupta,EDR deployment completed. Integration with SIEM tested.
V-011,Reliance Jio,Data Connectivity & MPLS,High,01-Jun-2024,31-May-2027,2400,NDA Signed,20-May-2024,SLA Signed,01-Jun-2024,NDA-2024-011,SLA-2024-011,N/A (Telco),N/A,3,Deepak Joshi,Primary MPLS connectivity provider. SLA-1 breaches reported in Q1.
