Hostname,IP Address,Server Type,OS Platform,Shared Account Name,Current Users Sharing Account,Justification for Sharing,First Identified Date,Risk Classification,Remediation Action,Target Remediation Date,Assigned To,Status,Alternate Individual Access Available,Review Notes
SRV-DB-PROD-01,10.10.20.15,Database Server (Oracle),Red Hat Linux 8,oracle,kjohnson;mjain;nsingh;hpatel;rverma;svyas,Legacy application hardcoded credentials,15-Mar-2026,Critical,Decommission shared account and create individual sudo accounts,30-Jul-2026,Database Admin Team,In-Progress,Yes - awaiting application change,PAM vault password rotation implemented as interim control
SRV-APP-PROD-05,10.10.30.22,Application Server (WebLogic),Red Hat Linux 8,weblogic,athakur;bjoshi;cpatil;dsharma,Shared admin account for WebLogic admin console,20-Jan-2026,Critical,Configure WebLogic for individual LDAP auth,15-Aug-2026,Middleware Admin Team,Planned,No - legacy WebLogic version,Upgrade to WebLogic 14c required first
FW-CORE-01,10.10.1.1,Firewall,PanOS,admin,ssen;dpawar;nagarwal;mshah;tkapoor,Network admin shared access,10-Feb-2026,High,Create unique user accounts with RBAC roles,30-Jun-2026,Network Security Team,In-Progress,Yes - TACACS+ config in testing,80% accounts created. Pending final review.
SW-CORE-01,10.10.1.2,Core Switch,IOS-XE,enable,kverma;sschoudhury;jhaider;amishra;spillai,Privileged EXEC mode shared,05-Apr-2026,High,Use AAA with privilege levels per user,15-Jul-2026,Network Operations Team,Not Started,Yes - AAA server configured,AAA integration pending PAM system
SRV-AD-PROD-03,10.10.10.10,Domain Controller,Windows Server 2022,Administrator,rsharma;vmehta;skumar;agarg;tjoshi,Enterprise admin account for AD management,01-Dec-2025,Critical,Replace with individual delegated admin accounts,30-Jun-2026,Infrastructure Team,In-Progress,Yes - using PAWs with separate accounts,50% admins migrated. Using Microsoft LAPS as transition.
SRV-EXCH-PROD-02,10.10.40.05,Email Server,Windows Server 2019,Exchange Admin,gdesai;pyadav;kkhan;lchopra;wfernandes,Exchange organization management group,12-Jan-2026,Critical,Restrict Exchange admin role group membership,30-Jul-2026,Messaging Team,In-Progress,Partially - monitoring only group removed,Split permissions model being implemented
SRV-BKP-PROD-01,10.10.50.10,Backup Server,Linux Ubuntu 22.04,root,bhakra;sawasthi;jnanavati;mmishra,Root access for backup operations,20-Mar-2026,High,Configure sudo with command restrictions per operator,15-Aug-2026,Backup Admin Team,Planned,No - backup software requires root for restores,Evaluating fine-grained sudoers policies
FW-SEC-02,10.10.1.10,Nexus Dashboard,Cisco NX-OS,admin,ssharma;mbhatt;rkhanna;gchawla;hbasu,Admin for fabric management,08-Jun-2026,Critical,Deploy local DB of unique admin accounts,30-Sep-2026,Data Center Team,Not Started,No - TACACS not yet deployed on NX-OS,Will leverage PAM agent for credential injection
SRV-HR-APP-01,10.10.60.20,HR Application Server,Windows Server 2022,sa,ppatel;rshukla;vmohan;amalik,SQL Server SA account for application connectivity,22-Apr-2026,Medium,Replace with service accounts having minimal permissions,30-Oct-2026,Application Admin Team,Planned,No - application hardcodes SA credentials,Application vendor contacted for fix
SRV-WEB-DMZ-01,10.99.1.10,Web Server DMZ,Rocky Linux 9,root,kjain;sschauhan;varya;mchopra;ndaniel,Root SSH shared key across DMZ,15-Mar-2026,Critical,Remove SSH key auth; use PAM-based individual auth with bastion host,31-Jul-2026,Security Engineering Team,In-Progress,Yes - bastion host deployed,User training on bastion access in progress
FW-PROD-02,10.10.1.20,PAN Firewall,PanOS 11.1,panshared,amalik;rchoudhary;stiwari;vgupta,Shared operational admin for firewall rules,15-Apr-2026,High,Implement TACACS+ with per-user attribute mapping,15-Aug-2026,Network Security Team,In-Progress,Partially - TACACS+ server available,Need firewall config template updates
SRV-DB-SAP-PROD,10.10.70.05,SAP HANA Server,SUSE Linux 15,sidadm,ssawant;amane;ktanwar;njain;pdesai,SAP HANA database administrator account,05-Jan-2026,Critical,Implement SAP HANA user store with individual users,31-Jul-2026,SAP Admin Team,In-Progress,Yes - individual OS users created but not for DB,SAP HANA cockpit being used for user management
SRV-DNS-INFRA-01,10.10.80.10,DNS Server,Windows Server 2022,dnsadmin,athakur;rsharma;mpandey;swalia;garya,DNS admin group with multiple members,10-Feb-2026,Medium,Split DNS admin roles - add/edit/delete delegation,30-Sep-2026,Infrastructure Team,Not Started,No - all admins need full DNS console access,AD-delegated administration planned
SRV-CLOUDGW-01,10.10.90.15,Cloud Gateway Appliance,Custom Linux,gwadmin,hmehta;jain;oagarwal;rchopra;sbansal,Shared management access for cloud connectivity,01-Mar-2026,High,Fix RADIUS/LDAP authentication for the gateway,15-Aug-2026,Cloud Admin Team,In-Progress,Yes - local accounts created per admin,Radius server configuration validated in test
SRV-AUDIT-PRD-01,10.10.100.20,Audit Log Server,Red Hat Linux 8,auditadmin,sverma;kgupta;dshah;mkapoor;magg,Shared audit admin account,20-Apr-2026,High,Create individual sudo users with restricted log access,30-Sep-2026,Security Operations Team,Not Started,Partially - some users have individual accounts,Pending audit policy update approval
SRV-CONTAINER-PROD,10.10.110.05,Kubernetes Master,Ubuntu 22.04,kubeadmin,rjain;hgupta;kkohli;sarora;dmalhotra,Kubernetes cluster admin shared context,15-May-2026,Critical,Configure RBAC with per-user kubeconfig contexts,31-Aug-2026,Platform Engineering Team,In-Progress,No - RBAC configuration in progress,Testing namespace-scoped permissions with developers
