# Bharat Mercantile Bank Limited – Software Inventory Tracker (Third-Party & Middleware)
# Reference: DI-07-05 | Version: 2.0 | Report Date: 01-Jun-2026
# Observation Reference: OBS-12 / 3.7.1 – Third-party apps and middleware not tracked under patch management

Software ID,Category,Software Name,Vendor,Version Installed,License Type,License Expiry,Installation Base (Count),Criticality,Current Patch Level,Latest Available Version,Patch Status,CVEs Pending,Severity,Last Patched Date,Next Scheduled Patch,Responsible Team,Support Status,End of Life Date,Discovered During (Date),Remarks
SW-0001,Endpoint – Productivity,Microsoft Office 365 ProPlus,Microsoft,Version 2405 (Build 17628.20130),Subscription – Annual,31-Dec-2026,3200,Critical,Monthly Channel v2405,v2406,Update Available,CVE-2026-4567 (Remote Code Execution),Critical,12-May-2026,11-Jun-2026,Endpoint Management,Supported,–,01-Jan-2025,"Enterprise-wide deployment; Auto-update enabled for security updates"
SW-0002,Endpoint – Productivity,Microsoft Office 2021 Professional Plus,Microsoft,Build 2108 (Version 2108),Perpetual,–,480,High,2108.14326.20206,2110.14000.20312,Update Available,CVE-2026-7890 (Information Disclosure),Medium,12-May-2026,11-Jun-2026,Endpoint Management,Supported,14-Oct-2031,01-Jan-2025,"Legacy deployment; being migrated to O365"
SW-0003,Endpoint – PDF,Adobe Acrobat Reader DC (Continuous),Adobe,24.08.20126,Freeware / Enterprise IT Managed,–,2800,Critical,24.08.20126,24.09.30215,Update Available,APSB26-123 (Buffer Overflow),Critical,12-May-2026,09-Jun-2026,Endpoint Management,Supported,–,01-Jan-2025,"Deployed via SCCM; monthly updates"
SW-0004,Endpoint – Compression,7-Zip,Igor Pavlov,24.08,Open Source (GNU LGPL),–,2800,Medium,24.08,24.09,Update Available,CVE-2026-1112 (Out-of-Bounds Write),High,10-Apr-2026,15-Jun-2026,Endpoint Management,Supported,–,15-Feb-2025,"Widely used; manual update process"
SW-0005,Endpoint – Browser,Google Chrome,Google,125.0.6422.142,Freeware,–,2800,Critical,Stable v125,Stable v126,Update Available,CVE-2026-3333 (Heap Overflow),Critical,15-May-2026,01-Jun-2026,Endpoint Management,Supported,–,01-Jan-2025,"Auto-update enabled; enterprise policy managed via GPO"
SW-0006,Endpoint – Browser,Mozilla Firefox ESR,Mozilla,115.12.0 ESR,Open Source (MPL),–,1200,High,ESR v115.12.0,ESR v115.13.0,Update Available,CVE-2026-4444 (Use-After-Free),High,12-May-2026,09-Jun-2026,Endpoint Management,Supported,–,01-Jan-2025,"ESR channel; managed via GPO"
SW-0007,Endpoint – File Transfer,WinSCP,Martin Prikryl,6.3.3,Open Source (GNU GPL),–,850,Low,6.3.3,6.3.5,Update Available,CVE-2026-5555 (Directory Traversal),Medium,01-Apr-2026,01-Jul-2026,Endpoint Management,Supported,–,01-Jan-2025,"Used by IT and development teams"
SW-0008,Endpoint – Terminal,Putty,Simon Tatham,0.81,Open Source (MIT),–,1200,Medium,0.81,0.82,Update Available,CVE-2026-6666 (Integer Overflow),High,05-May-2026,05-Jun-2026,Endpoint Management,Supported,–,01-Jan-2025,"Widely used by server admin teams"
SW-0009,Endpoint – Editor,Notepad++,Don Ho,8.6.9,Open Source (GNU GPL),–,2000,Low,8.6.9,8.7.0,Update Available,–,Low,01-May-2026,01-Aug-2026,Endpoint Management,Supported,–,01-Jan-2025,"Non-security updates; low priority"
SW-0010,Endpoint – Antivirus,Symantec Endpoint Protection,Broadcom,14.3.9272,Subscription – Annual,31-Mar-2027,2800,Critical,14.3.9272,14.3.9350,Update Available,–,High,10-May-2026,10-Jun-2026,Endpoint Management,Supported,–,01-Jan-2025,"Auto-definition updates enabled"
SW-0011,Endpoint – EDR,CrowdStrike Falcon,CS,7.14.0,Subscription – Annual,30-Jun-2027,2800,Critical,7.14.0,7.15.0,Update Available,Multiple CVEs,High,15-May-2026,15-Jun-2026,Security Team,Supported,–,01-Jan-2025,"Auto-update enabled"
SW-0012,Endpoint – VPN,Cisco AnyConnect,Cisco,4.10.06073,Subscription – Annual,31-Dec-2026,1800,High,4.10.06073,4.10.07061,Update Available,CVE-2026-2222 (Privilege Escalation),High,01-May-2026,01-Jun-2026,Network Team,Supported,–,01-Jan-2025,"VPN client; managed via Cisco ISE"
SW-0013,Middleware – Web Server,Microsoft IIS (Windows Server 2022),Microsoft,10.0.20348.2529,OS Component (Included in Windows Server license),–,24 (servers),Critical,10.0.20348.2529,10.0.20348.2762,Update Available,KB5022844 / CVE-2026-7777 (DoS),High,12-May-2026,11-Jun-2026,Server Administration,Supported,–,01-Jan-2025,"Hosts Internet Banking, Corporate Banking, Internal Portal"
SW-0014,Middleware – Application Server,Apache Tomcat,Apache Foundation,9.0.95,Open Source (Apache 2.0),–,8 (instances),Critical,9.0.95,9.0.98,Update Available,CVE-2026-8888 (Request Smuggling),Critical,15-Mar-2026,15-Jun-2026,Server Administration,Supported,–,01-Jan-2025,"Hosts Payment Gateway API, UPI Gateway, RBS"
SW-0015,Middleware – Application Server,JBoss EAP (WildFly),Red Hat,27.0.1,Subscription – Annual (Red Hat),30-Sep-2027,6 (instances),Critical,27.0.1,27.0.2,Update Available,RHSA-2026:9999 (Authentication Bypass),High,15-Feb-2026,15-Jun-2026,Server Administration,Supported,–,01-Jan-2025,"Hosts Core Banking middleware services"
SW-0016,Middleware – Application Server,IBM WebSphere Application Server,IBM,9.0.5.11,Subscription – Annual (IBM),31-Mar-2027,4 (instances),Critical,9.0.5.11,9.0.5.14,Update Available,IJ67890 (XML External Entity),Medium,20-Jan-2026,20-Jul-2026,Server Administration,Supported,–,01-Jan-2025,"Hosts Treasury Management System, FX Trading"
SW-0017,Middleware – Reverse Proxy,Nginx,Nginx Inc.,1.26.2,Open Source (BSD),–,6 (instances),Medium,1.26.2,1.27.0,Update Available,–,Low,10-May-2026,10-Aug-2026,Server Administration,Supported,–,01-Mar-2025,"Default deny; used as API reverse proxy"
SW-0018,Middleware – Message Queue,IBM MQ,IBM,9.3.5,Subscription – Annual (IBM),31-Mar-2027,6 (instances),High,9.3.5,9.3.6,Update Available,I98765 (Buffer Overflow),High,15-Apr-2026,15-Jul-2026,Server Administration,Supported,–,01-Jan-2025,"Messaging backbone for CBS"
SW-0019,Middleware – Cache,Redis,Redis Ltd.,7.2.5,Open Source (BSD),–,4 (instances),Medium,7.2.5,7.4.0,Update Available,CVE-2026-3334 (DoS),Medium,10-Apr-2026,10-Jul-2026,Server Administration,Supported,–,01-Mar-2025,"Session cache for Internet Banking"
SW-0020,Middleware – Load Balancer,F5 BIG-IP,F5 Networks,17.1.2,Subscription – Annual (F5),30-Jun-2027,4 (appliances),Critical,17.1.2,17.5.0,Update Available,K000135791 (RCE),Critical,01-May-2026,01-Jul-2026,Network Team,Supported,–,01-Jan-2025,"Load balancing for all internet-facing apps"
SW-0021,Database – RDBMS,Oracle Database 19c,Oracle,19.22.0.0.0,Subscription – Annual (Oracle),31-Dec-2026,6 (instances),Critical,19.22.0.0.0,19.24.0.0.0,Update Available,Oracle CPU Apr 2026 (Multiple CVEs),Critical,15-Apr-2026,15-Jul-2026 (Quarterly),DBA Team,Supported,–,01-Jan-2025,"Internet Banking, Card Management DB; quarterly CPU cycle"
SW-0022,Database – RDBMS,Microsoft SQL Server 2022,Microsoft,16.0.4125.3,License – Core-based,–,3 (instances),High,16.0.4125.3,16.0.4160.4,Update Available,KB5022845 / CVE-2026-1010 (Elevation of Privilege),High,12-May-2026,11-Jun-2026,DBA Team,Supported,–,01-Jan-2025,"CRM, HRMS, DMS databases"
SW-0023,Database – RDBMS,PostgreSQL 14,PostgreSQL Global Development Group,14.12,Open Source (PostgreSQL License),–,4 (instances),High,14.12,14.13,Update Available,CVE-2026-1111 (SQL Injection),Medium,10-May-2026,10-Jun-2026,DBA Team,Supported,–,01-Mar-2025,"Mobile Banking, UPI Gateway database"
SW-0024,Database – RDBMS,MySQL 8.0 (Oracle),Oracle,8.0.36,Open Source (GNU GPL),–,2 (instances),Medium,8.0.36,8.0.38,Update Available,CVE-2026-1212 (Server DoS),High,05-May-2026,05-Jul-2026,DBA Team,Supported,–,01-Mar-2025,"Loan Origination System, Customer Onboarding"
SW-0025,Database – Mainframe,IBM Db2 12 for z/OS,IBM,12.1.0.8,Subscription – Annual (IBM),31-Mar-2027,1 (instance – mainframe),Critical,12.1.0.8,12.1.0.9,Update Available,IJ99999 (Buffer Overflow),High,15-Apr-2026,15-Jul-2026 (Quarterly),DBA Team,Supported,–,01-Jan-2025,"Core Banking System (CBS) database"
SW-0026,Infrastructure – Monitoring,SolarWinds Orion,SolarWinds,2025.2.6,Subscription – Annual,31-Dec-2026,1 (server),High,2025.2.6,2025.2.8,Update Available,CVE-2026-1414 (SQL Injection),Critical,01-Apr-2026,01-Jul-2026,Infra Team,Supported,–,01-Jan-2025,"Network and server monitoring"
SW-0027,Infrastructure – Backup,Veeam Backup & Replication,Veeam,12.1.0.2131,Subscription – Annual,31-Mar-2027,2 (servers),High,12.1.0.2131,12.2.0.2420,Update Available,CVE-2026-1515 (Authentication Bypass),Critical,15-Apr-2026,15-Jul-2026,Infra Team,Supported,–,01-Jan-2025,"Enterprise backup solution"
SW-0028,Infrastructure – SIEM,Splunk Enterprise (On-prem),Splunk,9.2.1,License – Annual (Ingestion-based),30-Jun-2027,2 (search heads + 4 indexers),Critical,9.2.1,9.3.0,Update Available,Multiple CVEs,High,20-Apr-2026,20-Jul-2026,Security Team,Supported,–,01-Jan-2025,"Log management and SIEM"
SW-0029,Infrastructure – Patch Management,Microsoft SCCM (MECM),Microsoft,2309,License – Core CAL,–,1 (server),High,2309,2403,Update Available,–,Medium,12-May-2026,11-Jun-2026,Endpoint Management,Supported,–,01-Jan-2025,"Centralized patch deployment for Windows"
SW-0030,Infrastructure – Vulnerability Scanner,Qualys VMDR,Qualys,5.8.0.1,Subscription – Annual,31-Mar-2027,1 (cloud scanner appliance),Critical,5.8.0.1,5.9.0.0,Update Available,–,Medium,01-Jun-2026,01-Jul-2026,Security Team,Supported,–,01-Jan-2025,"Cloud-based vulnerability scanning"
