Doc_No:DI-03-02,Version:1.0,Effective_Date:01-Apr-2024,Entity:Bharat Mercantile Bank Limited
Prepared_By:IT Asset Management Division,Reviewed_By:CISO,Approved_By:Board of Directors
,,,,,,,,,,,,,,
Asset_ID,Asset_Type,Category,Make,Model,Serial_Number,Location,Business_Unit,Asset_Owner,Asset_Custodian,Criticality,Asset_Status,Acquisition_Date,PO_Reference,Warranty_Expiry,Data_Classification,Asset_Tag_No,Version,Reviewer,Approver,Approval_Date,Remarks
AST-2024-0001,Server,Physical - Rackmount,Dell,PowerEdge R750xs,SN-DELL-001A,DC-Mumbai-Primary-R15U08,Core Banking,Rajesh Patil,Sandeep Verma,Critical,Active,15-Jan-2024,PO-2024-0012,15-Jan-2027,Bank Confidential,CAT-BMB-0001,1.0,Amit Khanna,Neha Shah,15-Jan-2024,Primary CBS application server
AST-2024-0002,Server,Physical - Rackmount,Dell,PowerEdge R750xs,SN-DELL-002B,DC-Chennai-DR-R05U12,Core Banking,Rajesh Patil,Sandeep Verma,Critical,Active,20-Jan-2024,PO-2024-0012,20-Jan-2027,Bank Confidential,CAT-BMB-0002,1.0,Amit Khanna,Neha Shah,20-Jan-2024,DR CBS application server
AST-2024-0003,Storage,Physical - SAN,Dell,PowerStore 5200T,SN-DELL-STOR-001,DC-Mumbai-Primary-R08U01,Core Banking,Rajesh Patil,Sandeep Verma,Critical,Active,15-Jan-2024,PO-2024-0013,15-Jan-2029,Bank Restricted,CAT-BMB-0003,1.0,Rohit Gupta,Neha Shah,15-Jan-2024,Primary SAN for CBS - 120TB
AST-2024-0004,Network,Physical - Firewall,Fortinet,FortiGate 600F,FG-600F-2024-001,DC-Mumbai-Primary-R01U05,IT Security,Ankit Mehra,Priyanka Joshi,Critical,Active,05-Feb-2024,PO-2024-0021,05-Feb-2028,Internal,CAT-BMB-0004,1.0,Vikram Singh,Ankit Mehra,05-Feb-2024,Primary perimeter firewall
AST-2024-0005,Laptop,Physical - Mobile,Dell,Latitude 5540,SN-LAP-ADM-001,HOD-Cabin-4th-Floor,Administration,HR Department,Suman Devi,Low,Active,10-Mar-2024,PO-2024-0035,10-Mar-2027,Internal,CAT-BMB-0005,1.0,Vijay Kumar,Suman Devi,10-Mar-2024,HR Head laptop
AST-2024-0006,Server,Physical - Rackmount,HPE,ProLiant DL380 Gen10,SN-HPE-003C,DC-Mumbai-Primary-R12U04,Internet Banking,Pooja Sharma,Amit Verma,High,Active,12-Dec-2023,PO-2023-0098,12-Dec-2026,Bank Confidential,CAT-BMB-0006,1.0,Sandeep Rao,Pooja Sharma,12-Dec-2023,Internet banking web server
AST-2024-0007,Software,SaaS Subscription,Microsoft,Microsoft 365 E5,TENANT-BMB-ONM-001,Cloud - Azure Tenant,Enterprise IT,Ravi Gupta,Ravi Gupta,High,Active,01-Apr-2023,PO-2023-0001,31-Mar-2025,Internal,CAT-BMB-0007,2.3,Sneha Patel,Meena Iyer,15-Feb-2024,"License count: 4500 seats. Version updated 15-Feb-2024"
AST-2024-0008,Cloud,IaaS - Virtual Machine,Azure,VM Standard_D16s_v5,VM-APP-045,Cloud - Azure Sub-001,Digital Banking,Arun Nair,CloudOps Team,High,Active,20-Feb-2024,PO-2024-0028,Monthly (PAYG),Bank Confidential,CAT-BMB-0008,1.0,Deepak Joshi,Vikram Shah,20-Feb-2024,Digital lending app server
AST-2024-0009,Network,Physical - Switch,Cisco,Catalyst 9300,SN-CISCO-SW-022,DC-Mumbai-Primary-R02U10,IT Infrastructure,Vivek Saxena,Jatin Arora,High,Active,15-Nov-2023,PO-2023-0090,15-Nov-2028,Internal,CAT-BMB-0009,1.0,Priya Singh,Vivek Saxena,15-Nov-2023,Core switch - Floor 2
AST-2024-0010,Desktop,Physical - Tower,Lenovo,ThinkCentre M70t,SN-LEN-DSK-101,Branch-Mumbai-Andheri,Branch Operations,Mumbai Zonal Manager,Branch Manager - Andheri,Medium,Active,05-Jan-2023,PO-2023-0015,05-Jan-2026,Internal,CAT-BMB-0010,1.0,Regional IT Lead,Zonal IT Head,05-Jan-2023,Andheri branch - teller counter
AST-2024-0011,Software,On-prem License,Oracle,Oracle Database 19c Enterprise,LIC-DB-ORACLE-019,DC-Mumbai-Primary,Core Banking,Rajesh Patil,DBA Team,Critical,Active,01-Dec-2023,PO-2023-0105,30-Nov-2026,Bank Restricted,CAT-BMB-0011,1.0,Amit Khanna,Neha Shah,01-Dec-2023,"Licensed for 32 cores. Includes ASM and Partitioning"
AST-2024-0012,Server,Physical - Rackmount,Dell,PowerEdge R740xd,SN-DELL-LEGACY-012,DC-Mumbai-Primary-R20U01,Payment Gateway,Arun Nair,Priyanka Joshi,Critical,Active,EOL,15-Jun-2018,PO-2018-0045,15-Jun-2021,Bank Restricted,CAT-BMB-0012,1.0,Rohit Verma,Neha Shah,15-Jun-2018,"EOL - Windows 2012 R2. See DI-03-04 register for migration plan"
AST-2024-0013,Network,Physical - Firewall,Sophos,Sophos XG 450,SN-SOPHOS-003,DC-Chennai-DR-R01U03,IT Security,Ankit Mehra,Sandeep Rao,High,Active,10-Apr-2022,PO-2022-0030,10-Apr-2026,Internal,CAT-BMB-0013,1.0,Vikram Singh,Ankit Mehra,10-Apr-2022,DR site firewall
AST-2024-0014,Printer,Physical - MFP,HP,LaserJet MFP M440,SN-HP-PRN-089,Branch-Pune-Kothrud,Branch Operations,Pune Zonal Manager,Branch Manager - Kothrud,Low,Active,20-Aug-2023,PO-2023-0075,20-Aug-2026,Public,CAT-BMB-0014,1.0,Regional IT Lead,Zonal IT Head,20-Aug-2023,Kothrud branch - admin area
AST-2024-0015,Cloud,SaaS Subscription,Salesforce,Salesforce Financial Services Cloud,ORG-BMB-SFDC-001,Cloud - Salesforce Tenant,Retail Banking,Ravi Gupta,CRM Team,High,Active,01-Oct-2023,PO-2023-0088,30-Sep-2025,Bank Confidential,CAT-BMB-0015,1.0,Sneha Patel,Meena Iyer,01-Oct-2023,"Customer 360 CRM. Licensed for 500 users"
AST-2024-0016,Server,Physical - Rackmount,HPE,ProLiant DL360 Gen11,SN-HPE-AD-001,DC-Mumbai-Primary-R10U02,Active Directory,IT Infrastructure,Vivek Saxena,Jatin Arora,Critical,Active,01-Mar-2024,PO-2024-0025,01-Mar-2029,Internal,CAT-BMB-0016,1.0,Priya Singh,Vivek Saxena,01-Mar-2024,Primary domain controller
AST-2024-0017,Network,Physical - Load Balancer,F5,BIG-IP i5800,SN-F5-LB-002,DC-Mumbai-Primary-R03U05,IT Infrastructure,Vivek Saxena,Amit Verma,Critical,Active,20-Oct-2023,PO-2023-0082,20-Oct-2028,Internal,CAT-BMB-0017,1.0,Priya Singh,Vivek Saxena,20-Oct-2023,Application load balancer for CBS and IB
AST-2024-0018,Mobile Device,Physical - Smartphone,Samsung,Galaxy Tab S9 FE,SN-SAM-TAB-022,Regional Office-Delhi,Wholesale Banking,Delhi Zonal Manager,Relationship Manager - Delhi,Low,Active,15-Feb-2024,PO-2024-0030,15-Feb-2027,Bank Confidential,CAT-BMB-0018,1.0,Regional IT Lead,Zonal IT Head,15-Feb-2024,RM tablet for client demos
AST-2024-0019,Software,SaaS Subscription,Atlassian,Jira Service Management,BMB-ATL-JSM-001,Cloud - Atlassian Tenant,IT Service Desk,Ravi Gupta,Service Desk Team,Medium,Active,01-Jan-2024,PO-2024-0005,31-Dec-2025,Internal,CAT-BMB-0019,1.0,Sneha Patel,Meena Iyer,01-Jan-2024,"ITSM platform. Licensed for 100 agents"
