SrNo,ObservationId,BankName,Description,Status,Date,Remarks
1,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 1,Complied,18-06-2026,No remarks
2,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 2,Complied,18-06-2026,No remarks
3,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 3,Complied,18-06-2026,No remarks
4,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 4,Complied,18-06-2026,No remarks
5,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 5,Complied,18-06-2026,No remarks
6,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 6,Complied,18-06-2026,No remarks
7,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 7,Complied,18-06-2026,No remarks
8,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 8,Complied,18-06-2026,No remarks
9,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 9,Complied,18-06-2026,No remarks
10,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 10,Complied,18-06-2026,No remarks
11,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 11,Complied,18-06-2026,No remarks
12,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 12,Complied,18-06-2026,No remarks
13,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 13,Complied,18-06-2026,No remarks
14,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 14,Complied,18-06-2026,No remarks
15,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 15,Complied,18-06-2026,No remarks
16,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 16,Complied,18-06-2026,No remarks
17,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 17,Complied,18-06-2026,No remarks
18,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 18,Complied,18-06-2026,No remarks
19,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 19,Complied,18-06-2026,No remarks
20,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 20,Complied,18-06-2026,No remarks
21,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 21,Complied,18-06-2026,No remarks
22,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 22,Complied,18-06-2026,No remarks
23,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 23,Complied,18-06-2026,No remarks
24,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 24,Complied,18-06-2026,No remarks
25,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 25,Complied,18-06-2026,No remarks
26,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 26,Complied,18-06-2026,No remarks
27,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 27,Complied,18-06-2026,No remarks
28,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 28,Complied,18-06-2026,No remarks
29,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 29,Complied,18-06-2026,No remarks
30,3.5.1,Saptarishi Capital Limited,Periodic access review schedule and compliance tracker - Entry 30,Complied,18-06-2026,No remarks

