Doc_No:DI-03-04,Version:1.0,Effective_Date:01-Apr-2024,Entity:Bharat Mercantile Bank Limited
Prepared_By:IT Asset Management Division,Reviewed_By:CISO,Approved_By:CTO
,,,,,,,,,,,,,,,
Asset_ID,Asset_Name,Asset_Type,Category,Location,Business_Function,Vendor,Model_Version,EOL_Date,EOS_Date,EOES_Date,Current_Status,Risk_Level,Support_Status,RAN_Reference,RAN_Expiry,Migration_Approach,Migration_Plan_Ref,Migration_Start_Date,Migration_Target_End_Date,Migration_Status,Compensating_Controls,Remarks
AST-EOL-001,Windows Server 2012 R2 - CBS,Server,Operating System,DC-Mumbai-Primary,Core Banking OS,Microsoft,Win2012R2,10-Oct-2018,10-Oct-2023,10-Oct-2023,Production,Critical,Unsupported,RAN-2024-007,30-Sep-2024,Upgrade to Windows Server 2022,MP-CBS-OS-001,01-Apr-2024,30-Sep-2024,In Progress,"Network isolation; MFA for admin; Enhanced SIEM monitoring; Monthly vulnerability scan; CAB approval required for all changes","Payment gateway dependency. Migration vendor (Infosys) engaged. OS upgrade in test phase."
AST-EOL-002,Windows Server 2012 R2 - PGW,Server,Operating System,DC-Mumbai-Primary,Payment Gateway OS,Microsoft,Win2012R2,10-Oct-2018,10-Oct-2023,10-Oct-2023,Production,Critical,Unsupported,RAN-2024-007,30-Sep-2024,Upgrade to Windows Server 2022,MP-PGW-OS-002,01-Apr-2024,30-Sep-2024,In Progress,"Network isolation; MFA for admin; Enhanced SIEM monitoring; WAF in front","Shared migration project with CBS. Dependency on vendor API compatibility testing."
AST-EOL-003,Windows Server 2012 R2 - ICB,Server,Operating System,DC-Mumbai-Primary,Internet Banking OS,Microsoft,Win2012R2,10-Oct-2018,10-Oct-2023,10-Oct-2023,Production,Critical,Unsupported,RAN-2024-007,30-Sep-2024,Upgrade to Windows Server 2022,MP-IB-OS-003,01-May-2024,30-Sep-2024,In Progress,"Network isolation; MFA for admin; WAF; Web app scanning","Internet banking platform migration to .NET 8 also in scope."
AST-EOL-004,Windows Server 2012 R2 - DW,Server,Operating System,DC-Mumbai-Primary,Data Warehouse ETL OS,Microsoft,Win2012R2,10-Oct-2018,10-Oct-2023,10-Oct-2023,Production,High,Unsupported,RAN-2024-007,30-Sep-2024,Upgrade to Windows Server 2022,MP-DW-OS-004,01-Apr-2024,31-Aug-2024,In Progress,"Network isolation; Restricted AD group membership","ETL jobs being migrated to Azure Data Factory. OS upgrade may be skipped for cloud-moved workloads."
AST-EOL-005,Windows Server 2012 R2 - SFTP,Server,Operating System,DC-Chennai-DR,File Transfer OS,Microsoft,Win2012R2,10-Oct-2018,10-Oct-2023,10-Oct-2023,Production,High,Unsupported,RAN-2024-007,30-Sep-2024,Replace with Axway SecureTransport,MP-SFTP-005,01-Jun-2024,30-Sep-2024,Planned,"Network isolation; IP whitelist; File scanning","Axway deployment in pilot phase."
AST-EOL-006,SQL Server 2012,Database,Relational DBMS,DC-Mumbai-Primary,CBS - Internal Reporting DB,Microsoft,SQL2012,12-Jul-2022,12-Jul-2023,12-Jul-2023,Production,High,Unsupported,RAN-2024-012,31-Dec-2024,Upgrade to SQL Server 2022,MP-SQL-006,01-Aug-2024,31-Dec-2024,Planned,"DB-level audit; Restricted DB access; Quarterly patch assessment","Dependency on application compatibility with SQL 2022."
AST-EOL-007,Oracle Database 11g,Database,Relational DBMS,DC-Mumbai-Primary,Trade Finance System,Oracle,11.2.0.4,31-Jan-2020,31-Dec-2020,31-Dec-2020,Production,Critical,Unsupported,RAN-2024-015,30-Jun-2024,Upgrade to Oracle 19c,MP-ORACLE-007,01-Jan-2024,30-Jun-2024,In Progress,"DB-level audit; Restricted network access; Enhanced audit trail; Quarterly security review","Upgrade completed for 60% of schemas. Remaining schemas being migrated."
AST-EOL-008,Cisco Catalyst 3750,Network Switch,Networking,DC-Mumbai-Primary,Access Layer Switching,Cisco,WS-C3750X-48,31-Oct-2020,31-Oct-2023,31-Oct-2025,Production,High,Unsupported (Hardware),Pending - CTO review,31-Dec-2024,Replace with Cisco Catalyst 9300,MP-NET-008,01-Jul-2024,31-Dec-2024,Planned,"Network segmentation; SNMPv3 monitoring; Port security","Budget approved in Q1 2024-25. Procurement in progress."
AST-EOL-009,Fortinet FortiGate 100D,Firewall,Security Appliance,DC-Chennai-DR,DR Site Firewall,Fortinet,FG-100D,30-Sep-2021,30-Sep-2022,30-Sep-2022,Production,High,Unsupported,RAN-2024-020,30-Sep-2024,Replace with FortiGate 600F,MP-FW-009,01-Jun-2024,30-Sep-2024,In Progress,"ACLs restricted to essential flows; IDS/IPS rules reviewed monthly; Firmware updated to latest available version","FortiGate 600F ordered. Expected delivery Jun 2024."
AST-EOL-010,VMware vSphere 6.5,Hypervisor,Virtualization Platform,DC-Mumbai-Primary,Server Virtualization,VMware,vSphere 6.5 U3,15-Oct-2021,15-Oct-2022,15-Oct-2022,Production,Critical,Unsupported,RAN-2024-025,31-Aug-2024,Upgrade to vSphere 8.0,MP-VMW-010,01-Apr-2024,31-Aug-2024,In Progress,"Hardened VM configuration; Enhanced logging; Restricted vCenter admin access","vCenter 7.0 deployed interim. ESXi hosts being upgraded in rolling maintenance windows."
AST-EOL-011,HPE ProLiant DL380 Gen9,Server,Hardware,DC-Mumbai-Primary,Application Server (Legacy),HPE,DL380 Gen9,30-Jun-2022,30-Jun-2022,30-Jun-2022,Production,Medium,Unsupported (Hardware),RAN-2024-030,31-Mar-2025,Replace with HPE ProLiant DL380 Gen11,MP-HW-011,01-Oct-2024,31-Mar-2025,Planned,"Air-gapped VLAN; Enhanced hardware monitoring; Spare parts inventory maintained","Applications being modernized. Replacement deferred to align with application migration."
AST-EOL-012,Microsoft Office 2016,Software,Office Suite,All Branches,End User Computing,Microsoft,Office 2016,14-Oct-2020,14-Oct-2023,14-Oct-2023,Production,Medium,Unsupported,Not required - migration in progress,31-Jul-2024,Upgrade to Microsoft 365 Apps (click-to-run),MP-O365-012,01-Apr-2024,31-Jul-2024,In Progress,"M365 E3 licensing procured; Intune configured for deployment","Automated deployment via SCCM and Intune. 1800/4500 seats upgraded as of Mar 2024."
