SrNo,ObservationId,BankName,Description,Status,Date,Remarks
1,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 1,Complied,18-06-2026,No remarks
2,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 2,Complied,18-06-2026,No remarks
3,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 3,Complied,18-06-2026,No remarks
4,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 4,Complied,18-06-2026,No remarks
5,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 5,Complied,18-06-2026,No remarks
6,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 6,Complied,18-06-2026,No remarks
7,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 7,Complied,18-06-2026,No remarks
8,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 8,Complied,18-06-2026,No remarks
9,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 9,Complied,18-06-2026,No remarks
10,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 10,Complied,18-06-2026,No remarks
11,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 11,Complied,18-06-2026,No remarks
12,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 12,Complied,18-06-2026,No remarks
13,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 13,Complied,18-06-2026,No remarks
14,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 14,Complied,18-06-2026,No remarks
15,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 15,Complied,18-06-2026,No remarks
16,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 16,Complied,18-06-2026,No remarks
17,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 17,Complied,18-06-2026,No remarks
18,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 18,Complied,18-06-2026,No remarks
19,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 19,Complied,18-06-2026,No remarks
20,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 20,Complied,18-06-2026,No remarks
21,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 21,Complied,18-06-2026,No remarks
22,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 22,Complied,18-06-2026,No remarks
23,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 23,Complied,18-06-2026,No remarks
24,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 24,Complied,18-06-2026,No remarks
25,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 25,Complied,18-06-2026,No remarks
26,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 26,Complied,18-06-2026,No remarks
27,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 27,Complied,18-06-2026,No remarks
28,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 28,Complied,18-06-2026,No remarks
29,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 29,Complied,18-06-2026,No remarks
30,3.2.2,Saptarishi Capital Limited,Standardized disclosure compliance register across apps - Entry 30,Complied,18-06-2026,No remarks

